gene_symbol	GSM747298	GSM747299	GSM747300	GSM747301	GSM747302	GSM747303	GSM747304	GSM747305	GSM747306	GSM747307	GSM747308	GSM747309
class	1	1	1	1	1	1	0	0	0	0	0	0
a1bg	31.0843	8.77818	32.3108	47.4336	17.0237	40.1136	29.1141	30.6345	26.4436	35.6876	8.37562	21.5985
a1bg_as1	-29.4287	19.9881	-47.7147	8.69226	-29.762	-36.1427	-11.2642	-5.82913	-26.5726	-17.201	-18.2897	6.84858
a1cf	-21.4733	-0.959429	-8.2395	-4.11949	-7.02411	3.2289	-17.592	-11.6622	-13.2235	-3.12171	-18.3866	1.83498
a2m	1297.29	1503.35	963.122	2599.33	1445.66	1931.53	1399.4	1938.96	1973.18	1787.28	1538.64	1503.71
a2ml1	-45.2922	-46.6273	-43.7166	-67.1454	-14.4195	-45.5354	-58.2128	-29.6533	-57.3401	-67.1378	-53.2543	-66.104
a3galt2	308.952	158.349	220.129	272.324	467.671	168.54	170.164	278.245	305.972	323.123	777.586	279.432
a4galt	51.1452	32.7395	29.1059	31.9521	45.1842	60.4391	76.5324	58.4111	35.0948	45.8383	24.3671	38.6998
a4gnt	96.9297	121.645	78.5053	89.475	142.107	90.5785	75.8553	136.927	125.476	118.188	74.1004	111.674
aaas	358.875	294.765	252.616	212.215	114.57	255.418	371.791	371.21	256.88	253.667	252.467	166.33
