gene_symbol	GSM635904	GSM635905	GSM635906	GSM635907	GSM635908	GSM635909	GSM635910	GSM635911	GSM635912	GSM635913	GSM635914	GSM635915	GSM635916	GSM635917	GSM635918	GSM635919	GSM635920	GSM635921	GSM635922	GSM635923	GSM635924	GSM635925	GSM635926	GSM635927	GSM635928	GSM635929	GSM635930	GSM635931	GSM635932	GSM635933	GSM635934	GSM635935	GSM635936	GSM635937	GSM635938	GSM635939	GSM635940	GSM635941	GSM635942	GSM635943	GSM635944	GSM635945	GSM635946	GSM635947	GSM635948	GSM635949	GSM635950	GSM635951	GSM635952	GSM635953	GSM635954	GSM635955	GSM635956	GSM635957	GSM635958	GSM635959	GSM635960	GSM635961	GSM635962	GSM635963
class	CASE	CASE	CASE	CASE	CASE	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CASE	CASE	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CASE	CASE	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CASE	CONTROL	CASE	CONTROL	CASE	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CONTROL	CONTROL	CASE	CONTROL	CASE	CONTROL
a1bg	4.64465	4.64465	4.64465	4.64465	10.7117	10.8139	10.9396	10.793	11.2169	10.632	10.7192	10.8177	10.6283	10.7271	10.9227	11.1434	11.1485	11.0546	11.2791	11.0131	10.4041	10.8368	11.1121	11.1732	11.3807	11.1783	11.2944	11.0524	10.7911	10.7734	10.9185	10.6886	11.1464	10.7629	11.2474	11.0979	11.0502	11.1201	11.0351	10.9726	10.9881	11.0452	11.0452	11.3057	11.4994	11.1619	10.9419	10.8644	10.9373	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465	4.64465
a1cf	5.40602	5.5326	5.63523	5.52283	5.42355	5.55523	5.52838	5.38678	5.62311	5.61228	5.48203	5.54638	5.55478	5.4348	5.58571	5.49781	5.43012	5.47993	5.59155	5.52928	5.52426	5.54783	5.41715	5.50901	5.44916	5.51953	5.54102	5.5708	5.43628	5.51574	5.3264	5.35427	5.55863	5.42247	5.42967	5.54433	5.45049	5.46859	5.37094	5.4297	5.46321	5.54922	5.58815	5.59916	5.48434	5.58973	5.49837	5.45031	5.41046	5.64013	5.62803	5.55309	5.58883	5.60564	5.48307	5.58929	5.53106	5.68773	5.58924	5.47941
a2m	5.87523	5.8533	5.89672	5.72454	5.98139	5.86469	5.66998	5.91434	6.08819	6.01306	6.09266	5.92742	5.7165	5.74519	5.87079	5.55399	6.11247	6.00445	5.89805	5.92459	5.83884	5.9672	5.99763	5.58357	5.8182	5.95394	5.87874	5.75355	5.75349	5.8518	5.70327	5.66205	5.76036	5.56533	5.86282	5.59247	5.80957	5.87376	5.72563	5.63862	5.60726	5.74497	5.71773	5.56223	5.76932	5.78713	5.78412	5.82461	5.82242	5.49519	5.80893	5.71965	5.8923	5.65354	5.53078	5.69989	5.60566	5.44187	5.69273	5.67828
a2ml1	5.68739	5.67578	5.6877	5.48836	5.50835	5.63184	5.58491	5.59859	5.52249	5.72396	5.86483	5.69291	5.6794	5.58286	5.46804	5.62437	5.51882	5.63503	5.73121	5.63863	5.55584	5.57148	5.54179	5.35902	5.549	5.61147	5.72486	5.61674	5.54543	5.48811	5.74542	5.70706	5.70112	5.57014	5.40585	5.46548	5.55148	5.49027	5.56422	5.55473	5.63015	5.62333	5.45426	5.55322	5.54005	5.50801	5.57008	5.49895	5.47393	5.41897	5.46277	5.71318	5.65851	5.69811	5.57612	5.49411	5.57012	5.43556	5.66285	5.45818
a3galt2	5.91599	5.84913	5.73988	5.69829	5.72204	5.73739	5.81958	5.90864	5.77398	5.67979	5.68677	5.72292	5.63569	5.51481	5.73261	5.61962	5.71874	5.76218	5.69052	5.45985	5.75335	5.76935	5.66761	5.56517	5.67547	5.56336	5.84498	5.61862	5.67229	5.85947	5.74143	5.7475	5.78005	5.63239	5.77694	5.8585	5.93223	5.76397	5.7093	5.60377	5.77428	5.61228	5.84836	5.71241	5.81862	5.64739	5.61611	5.74973	5.64377	5.65907	5.87027	5.57969	5.6906	5.7088	5.78125	5.55658	5.69963	5.81854	5.62621	5.86417
a4galt	10.1999	9.66757	10.2987	9.5204	12.7121	13.0505	12.7364	12.743	12.4334	12.543	12.4766	12.2996	12.133	12.7193	12.3699	12.5877	12.6101	12.5046	12.4853	12.7045	12.7634	12.7364	12.5953	12.6428	12.96	12.6027	12.4477	12.5345	12.3763	12.4477	12.7364	12.4766	12.5117	12.4477	12.1894	12.4052	12.5648	12.6428	12.5877	12.3835	12.4556	12.9417	12.5719	12.2573	12.7784	12.3514	12.2425	12.4123	12.4556	10.5986	9.80205	9.87617	9.78035	9.10697	9.55059	9.97081	9.56563	9.65626	9.87417	10.2112
a4gnt	5.59385	5.37875	5.66597	5.61981	5.84427	5.79538	5.86852	5.99546	5.80271	5.91241	5.91332	5.49995	5.95841	5.62103	5.85621	5.84089	5.83939	5.73879	5.70497	5.73845	5.70963	5.69069	5.78442	6.02061	5.86042	5.69511	5.95218	5.95591	5.6061	5.61551	5.85008	5.78861	5.68076	5.86116	5.84024	5.71019	5.79175	5.65277	5.73056	5.87435	5.87203	5.60021	5.69849	5.89648	5.72401	5.88042	5.85208	5.82116	5.68198	5.57047	5.58227	5.65829	5.31234	5.42072	5.61711	5.53297	5.53065	5.48422	5.55628	5.74918
aaas	7.07719	6.4558	6.56143	7.00139	6.73519	6.54965	6.03268	6.23336	6.19758	6.45343	6.30755	6.34574	6.59731	6.32448	6.47977	6.29099	6.4796	6.79167	6.40565	6.12133	6.61611	6.29337	6.33478	6.39445	6.18006	6.36307	6.19876	6.58754	6.53546	6.61902	6.90179	6.53584	6.34414	6.90752	6.86654	6.66888	6.6325	6.42623	6.65983	6.69609	6.70521	7.01596	6.27023	6.17056	6.42569	6.70682	6.94331	6.82651	6.90427	6.15854	7.1493	6.73135	7.65724	7.1627	6.62558	6.90538	6.27506	7.28132	7.27306	7.22362
aacs	5.45918	5.42613	5.47113	5.35684	5.32913	5.15645	5.30603	5.50747	5.31889	5.49313	5.34355	5.35186	5.27213	5.39711	5.51286	5.27459	5.43525	5.32891	5.3725	5.18949	5.31915	5.29968	5.38353	5.55466	5.47476	5.47186	5.31266	5.38249	5.35977	5.39842	5.2786	5.50561	5.33534	5.21744	5.18979	5.35706	5.34359	5.42865	5.2008	5.26264	5.45265	5.54794	5.4789	5.2687	5.39505	5.39645	5.38143	5.55765	5.41797	5.43449	5.50485	5.46818	5.47257	5.39443	5.47781	5.3443	5.43562	5.5355	5.43036	5.47902
